sep=,
Nome,Empresa,Cargo,Email,Telefone,Data de criação,Hora de criação,Contato e envio de comunicação,Status de contato e envio de comunicação,Hobbys,Time de Futebol,Família,Data de Nascimento,Cargo,Sexo
METALURGICA ZHZ LTDA,METALURGICA ZHZ LTDA,,"",4733760314,15/05/2026,14:47,pre_existent_contract,granted,"","","","","",""
MICASA FABRICACAO DE MOVEIS LTDA,MICASA FABRICACAO DE MOVEIS LTDA,,"",4732752775,12/05/2026,13:37,pre_existent_contract,granted,"","","","","",""
MICHELUZZI INDUSTRIA E COMERCIO DE FIOS E MALHAS LTDA,MICHELUZZI INDUSTRIA E COMERCIO DE FIOS E MALHAS LTDA,,"",4732760791,20/05/2026,14:38,pre_existent_contract,granted,"","","","","",""
MODELLE MODA INTIMA E FITNESS LTDA,MODELLE MODA INTIMA E FITNESS LTDA,,"",47991419417,12/05/2026,13:10,pre_existent_contract,granted,"","","","","",""
MOVEIS EING LTDA,MOVEIS EING LTDA,,"",4733702962,12/05/2026,15:30,pre_existent_contract,granted,"","","","","",""
MUSA AGROINDUSTRIA DE ALIMENTOS LTDA,MUSA AGROINDUSTRIA DE ALIMENTOS LTDA,,"",47991018769,12/05/2026,13:10,pre_existent_contract,granted,"","","","","",""
OLHO VITAL INDUSTRIA E COMERCIO DE CONFECCOES LTDA,OLHO VITAL INDUSTRIA E COMERCIO DE CONFECCOES LTDA,,pcp5@olhofatal.com.br,47991778378,14/05/2026,14:03,pre_existent_contract,granted,"","","","","",""
OTS MULTILAR DISTRIBUIDORA DE ARMARINHOS LTDA,OTS MULTILAR DISTRIBUIDORA DE ARMARINHOS LTDA,,"",4733702821,14/05/2026,14:03,pre_existent_contract,granted,"","","","","",""
PAULO RENATO POHREN FRUTAS E VERDURAS LTDA,PAULO RENATO POHREN FRUTAS E VERDURAS LTDA,,"",47991740536,12/05/2026,13:10,pre_existent_contract,granted,"","","","","",""
PERSONALLYZZA BRASIL INDUSTRIA DE ACESSORIOS DO VESTUARIO LTDA,PERSONALLYZZA BRASIL INDUSTRIA DE ACESSORIOS DO VESTUARIO LTDA,,"",47999236090,18/05/2026,17:39,pre_existent_contract,granted,"","","","","",""
PIZZARIA BARAO DO RIO BRANCO LTDA,PIZZARIA BARAO DO RIO BRANCO LTDA,,"",47991400070,20/05/2026,14:38,pre_existent_contract,granted,"","","","","",""
PLANEJAMOVEIS SOB MEDIDA LTDA,PLANEJAMOVEIS SOB MEDIDA LTDA,,"",47996688888,12/05/2026,13:37,pre_existent_contract,granted,"","","","","",""
POLIMERTEC IND. E COM. DE BORRACHAS LTDA,POLIMERTEC IND. E COM. DE BORRACHAS LTDA,,"",4733763726,18/05/2026,15:49,pre_existent_contract,granted,"","","","","",""
PPP INDUSTRIA DE ALIMENTOS LTDA,PPP INDUSTRIA DE ALIMENTOS LTDA,,"",47984551606,18/05/2026,15:49,pre_existent_contract,granted,"","","","","",""
PRO FITAS LTDA,PRO FITAS LTDA,,"",47999461565,20/05/2026,15:50,pre_existent_contract,granted,"","","","","",""
SCC ARTESANATOS LTDA,SCC ARTESANATOS LTDA,,"",47992691569,11/05/2026,17:06,pre_existent_contract,granted,"","","","","",""
SOMAWA COMERCIO DE BANANAS LTDA,SOMAWA COMERCIO DE BANANAS LTDA,,"",47984969297,12/05/2026,13:10,pre_existent_contract,granted,"","","","","",""
SR PAO PANIFICACAO E ALIMENTOS CONGELADOS LTDA,SR PAO PANIFICACAO E ALIMENTOS CONGELADOS LTDA,,"",47984330138,20/05/2026,14:38,pre_existent_contract,granted,"","","","","",""
STANNIS INDUSTRIA DE BEBIDAS LTDA,STANNIS INDUSTRIA DE BEBIDAS LTDA,,compras@stannis.com,4733736395,15/05/2026,14:47,pre_existent_contract,granted,"","","","","",""
STR FERRAMENTARIA LTDA,STR FERRAMENTARIA LTDA,,"",47991894696,18/05/2026,17:39,pre_existent_contract,granted,"","","","","",""
TEMPEREX INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,TEMPEREX INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,,"",4733714821,18/05/2026,15:49,pre_existent_contract,granted,"","","","","",""
TEXTILFIO MALHAS LTDA,TEXTILFIO MALHAS LTDA,,"",47991975930,14/05/2026,14:03,pre_existent_contract,granted,"","","","","",""
TEXTIPAN INDUSTRIA E COMERCIO LTDA,TEXTIPAN INDUSTRIA E COMERCIO LTDA,,"",47984974437,14/05/2026,14:03,pre_existent_contract,granted,"","","","","",""
TORNEARIA GUIDO LTDA,TORNEARIA GUIDO LTDA,,"",47984973914,14/05/2026,14:03,pre_existent_contract,granted,"","","","","",""
TRADICAO COMERCIO DE ALIMENTOS LTDA,TRADICAO COMERCIO DE ALIMENTOS LTDA,,"",47988341932,20/05/2026,14:38,pre_existent_contract,granted,"","","","","",""
USIROTA INDUSTRIA E COMERCIO ATACADISTA DE PECAS INDUSTRIAIS LTDA,USIROTA INDUSTRIA E COMERCIO ATACADISTA DE PECAS INDUSTRIAIS LTDA,,orcamentos@usirotas.ind.br,4733745181,18/05/2026,15:49,pre_existent_contract,granted,"","","","","",""
WIPOOL INDUSTRIA E COMERCIO TEXTIL LTDA,WIPOOL INDUSTRIA E COMERCIO TEXTIL LTDA,,"",47996281543,18/05/2026,15:49,pre_existent_contract,granted,"","","","","",""
ZEFTER MÓVEIS,Zefter Comercio Varejista LTDA,"","",47996110078,26/05/2026,11:28,"","","","","","","",""
